type,volatile acidity,chlorides,density,pH,alcohol,quality
white,0.34,0.053,0.9977,3.16,8.6,5
white,0.22,0.05,0.994,3.14,9.9,5
white,0.3,0.042,0.9982,3.23,9.3,6
white,0.27,0.044,0.9929,3.28,10.9,5
white,0.17,0.056,0.9924,3.2,10.2,6
white,0.18,0.045,0.9966,3.11,9.7,6
white,0.16,0.046,0.9921,3.38,11.4,7
white,0.255,0.045,0.9967,3.24,9.5,6
white,0.23,0.049,0.9934,3.42,10.2,7
white,0.16,0.042,0.9914,3.31,11.1,6
white,0.25,0.039,0.99705,3.14,9.7,6
white,0.27,0.053,0.9961,3.22,9.3,5
white,0.29,0.056,0.9967,3.17,8.8,5
white,0.21,0.038,0.9926,2.8,10.6,5
white,0.62,0.046,0.99605,3.17,9.3,5
white,0.28,0.042,0.99435,3.31,10.2,6
white,0.3,0.044,0.9948,3.16,10.2,6
white,0.17,0.037,0.9916,3.46,11,7
white,0.21,0.037,0.997,3.4,9.6,6
white,0.27,0.053,0.9961,3.22,9.3,5
white,0.29,0.056,0.9967,3.17,8.8,5
white,0.32,0.054,0.9961,3.17,8.8,5
white,0.32,0.051,0.9955,3.28,8.9,5
white,0.37,0.048,0.9922,3.17,10,5
white,0.43,0.046,0.9918,3.16,12.2,7
white,0.39,0.059,0.9955,3.04,10.9,6
white,0.18,0.041,0.9941,3.34,9.5,6
white,0.4,0.059,0.9955,3.04,10.9,6
white,0.39,0.059,0.9955,3.04,10.9,6
white,0.19,0.054,0.9924,3.16,10.8,6
white,0.49,0.03,0.9973,3.24,12,6
white,0.25,0.069,0.999,3.56,9.8,5
white,0.18,0.041,0.9941,3.34,9.5,6
white,0.15,0.034,0.9922,3.42,11,8
white,0.15,0.034,0.9922,3.42,11,8
white,0.17,0.052,0.9953,3.24,9.8,5
white,0.32,0.051,0.9945,3.49,10.5,4
white,0.21,0.034,0.9945,3.05,11.4,6
white,0.45,0.067,0.9957,3.27,10.1,6
white,0.24,0.038,0.9932,3.33,11.6,7
white,0.21,0.034,0.9945,3.05,11.4,6
white,0.33,0.04,0.9913,3.07,11.8,7
white,0.26,0.033,0.9909,3.33,12.1,7
white,0.36,0.035,0.9939,3.16,12,5
white,0.2,0.026,0.991,3.08,12.1,7
white,0.16,0.042,0.9954,3.15,9.1,5
white,0.33,0.054,0.9943,3.36,9.3,5
white,0.22,0.056,0.993,3.2,10.4,6
white,0.35,0.062,1.0002,3.27,9.1,5
white,0.37,0.064,0.9946,3.32,9.4,5
white,0.37,0.061,0.9953,3.16,9.6,6
white,0.37,0.037,0.9918,3.19,12,5
white,0.25,0.039,0.9936,3.27,11.3,8
white,0.23,0.073,0.9984,3.06,8.7,6
white,0.26,0.04,0.9956,3.39,9.9,6
white,0.3,0.049,0.9966,3.08,9.3,6
white,0.16,0.042,0.9942,3.07,9.5,5
white,0.23,0.073,0.9984,3.06,8.7,6
white,0.26,0.04,0.9956,3.39,9.9,6
white,0.3,0.049,0.9966,3.08,9.3,6
white,0.33,0.065,0.9974,3.16,9.4,5
white,0.38,0.046,0.9944,3.15,9.4,5
white,0.2,0.053,1.0008,3.28,8.8,6
white,0.33,0.065,0.9974,3.16,9.4,5
white,0.2,0.053,1.0008,3.28,8.8,6
white,0.36,0.049,0.9928,3.18,9.9,6
white,0.38,0.046,0.9944,3.15,9.4,5
white,0.46,0.042,0.9908,3.29,12.6,6
white,0.15,0.038,0.9917,3.19,11.1,6
white,0.42,0.03,0.9911,3,12.8,7
white,0.3,0.038,0.9912,3.09,12,6
white,0.27,0.029,0.9953,3.36,12,7
white,0.5,0.034,0.9932,3.19,9.2,4
white,0.26,0.032,0.9896,3.38,12.3,6
white,0.33,0.032,0.9889,3.19,13,6
white,0.3,0.038,0.9912,3.09,12,6
white,0.29,0.035,0.9926,3.07,10.9,5
white,0.42,0.03,0.9911,3,12.8,7
white,0.19,0.054,0.9964,3.36,10,6
white,0.32,0.033,0.9974,3.22,9,5
white,0.32,0.034,0.9944,3.42,10.4,5
white,0.32,0.033,0.9974,3.22,9,5
white,0.19,0.054,0.9964,3.36,10,6
white,0.17,0.051,0.9963,3.36,10,6
white,0.44,0.031,0.9948,3.12,11.3,7
white,0.44,0.031,0.9948,3.12,11.3,7
white,0.49,0.03,0.9953,3.13,12,7
white,0.44,0.031,0.9948,3.12,11.3,7
white,0.49,0.03,0.9953,3.13,12,7
white,0.21,0.044,0.9949,3.6,10.6,6
white,0.55,0.211,0.9988,2.99,9.3,5
white,0.19,0.123,0.9954,3.04,9.4,6
white,0.24,0.037,0.992,3.27,11,7
white,0.34,0.052,0.9984,3.44,9.3,6
white,0.19,0.123,0.9954,3.04,9.4,6
white,0.18,0.054,0.9926,3.42,10.5,5
white,0.24,0.037,0.992,3.27,11,7
white,0.18,0.039,0.9976,3.07,9.5,6
white,0.28,0.059,0.9972,3.33,11.2,6
white,0.34,0.029,0.991,3.29,12.3,6
white,0.44,0.049,0.998,3.27,9,5
white,0.26,0.041,0.9966,3.07,9,5
white,0.44,0.049,0.998,3.27,9,5
white,0.49,0.052,1.0007,2.98,9,5
white,0.24,0.042,0.992,3.25,11.4,6
white,0.25,0.046,0.9925,3.2,11,7
white,0.34,0.029,0.991,3.29,12.3,6
white,0.18,0.049,0.9934,3.6,10.4,7
white,0.27,0.058,0.9955,3.28,10.3,5
white,0.24,0.048,0.9944,3.29,10.5,7
white,0.22,0.053,0.9981,3.14,9.8,6
white,0.91,0.056,0.9968,3.11,10,4
white,0.34,0.056,0.9946,3.14,9.7,5
white,0.33,0.056,0.9946,3.13,9.7,5
white,0.22,0.053,0.9981,3.14,9.8,6
white,0.18,0.046,0.9946,3.32,10.5,6
white,0.2,0.054,0.997,3.14,10,6
white,0.13,0.054,0.9924,3.24,11.5,7
white,0.28,0.049,0.9958,3.24,9.5,5
white,0.25,0.042,0.994,3.43,10.5,6
white,0.36,0.255,0.9958,3.12,10.2,6
white,0.27,0.05,0.9984,3.34,9.8,6
white,0.37,0.031,0.9948,3.1,11.6,6
white,0.21,0.031,0.9932,3.15,11.8,7
white,0.18,0.035,0.9952,3.04,10.1,7
white,0.19,0.049,0.9924,3.31,10.3,6
white,0.21,0.048,0.9945,3.34,10.4,6
white,0.33,0.047,0.9976,3.09,8.9,5
white,0.33,0.047,0.9976,3.09,8.9,5
white,0.29,0.034,0.9938,3.06,10.8,5
white,0.31,0.058,0.9997,3.38,9.2,5
white,0.19,0.053,0.994,3.18,9.6,6
white,0.2,0.032,0.9921,3.08,10.4,6
white,0.25,0.043,0.9986,3.03,8.7,6
white,0.2,0.043,0.9987,3.06,9.2,6
white,0.3,0.045,0.9991,3.18,9.2,5
white,0.2,0.043,0.9987,3.06,9.2,6
white,0.3,0.045,0.9991,3.18,9.2,5
white,0.3,0.045,0.9991,3.18,9.2,5
white,0.22,0.029,0.9948,3.4,10.2,5
white,0.2,0.043,0.9987,3.06,9.2,6
white,0.53,0.036,0.993,3.2,9,5
white,0.24,0.05,0.9988,3.37,9.7,5
white,0.24,0.049,1,3.34,9.6,5
white,0.15,0.036,0.9932,3.14,10,5
white,0.3,0.045,0.9991,3.18,9.2,5
white,0.33,0.045,0.9989,3.18,9.1,5
white,0.24,0.046,1,3.3,8.7,5
white,0.24,0.046,1,3.3,8.7,5
white,0.35,0.056,0.9952,3.14,9.5,5
white,0.26,0.039,0.9969,2.93,9.5,6
white,0.29,0.037,0.9966,2.9,8.9,6
white,0.29,0.037,0.9966,2.9,8.9,6
white,0.31,0.053,0.9976,3.29,9.9,6
white,0.44,0.03,0.99,3.29,12.6,7
white,0.23,0.033,0.9988,2.72,9.7,6
white,0.21,0.039,0.9942,2.96,10.4,5
white,0.23,0.04,0.9984,2.93,9.1,6
white,0.34,0.04,0.9932,3.01,10.4,5
white,0.26,0.039,0.9969,2.93,9.5,6
white,0.29,0.037,0.9966,2.9,8.9,6
white,0.28,0.037,0.9933,3.16,10.6,5
white,0.37,0.029,0.9916,3.12,12,7
white,0.36,0.038,0.9914,2.93,12.5,7
white,0.13,0.062,0.9966,3.21,9.6,5
white,0.25,0.045,0.9958,3.08,9.2,5
white,0.18,0.041,0.9926,3.04,9.9,6
white,0.3,0.036,0.9939,2.96,11.7,6
white,0.23,0.049,0.9953,3.09,9.6,6
white,0.43,0.033,0.9906,3,12,6
white,0.36,0.038,0.9914,2.93,12.5,7
white,0.25,0.045,0.9958,3.08,9.2,5
white,0.18,0.041,0.9926,3.04,9.9,6
white,0.35,0.044,0.9991,3.17,8.9,6
white,0.22,0.049,0.9994,3.24,9,6
white,0.26,0.052,0.9976,3.03,10.2,7
white,0.13,0.062,0.9966,3.21,9.6,5
white,0.12,0.055,0.9953,3.29,9.4,5
white,0.37,0.028,0.9923,2.97,10.4,5
white,0.26,0.032,0.993,3.15,10.4,4
white,0.2,0.204,0.9931,3.16,10,6
white,0.22,0.208,0.9932,3.16,10,6
white,0.25,0.052,0.9926,3.05,10.5,5
white,0.27,0.047,0.9938,3.23,11.4,6
white,0.34,0.036,0.9966,3.08,10.2,5
white,0.27,0.043,0.9974,3.04,10.4,6
white,0.49,0.047,0.9924,3.24,11,3
white,0.71,0.042,0.9948,2.89,10.1,6
white,0.47,0.083,0.9964,3,9.2,5
white,0.28,0.04,0.9924,3.23,10.3,6
white,0.34,0.036,0.9966,3.08,10.2,5
white,0.27,0.043,0.9974,3.04,10.4,6
white,0.13,0.08,0.9938,3.23,11.1,7
white,0.16,0.031,0.9928,3.33,9.9,5
white,0.31,0.052,0.9959,3.14,9,5
white,0.36,0.052,1.0001,2.93,8.6,5
white,0.31,0.052,0.9959,3.14,9,5
white,0.36,0.052,1.0001,2.93,8.6,5
white,0.25,0.041,0.9968,3.18,9.5,5
white,0.45,0.051,0.9932,3.02,9,5
white,0.26,0.049,0.9954,2.99,10,6
white,0.22,0.066,0.9992,3.6,9,6
white,0.45,0.051,0.9932,3.02,9,5
white,0.19,0.046,0.9939,3.34,10.2,7
white,0.31,0.054,0.9952,3.04,9.6,5
white,0.25,0.036,0.9996,2.96,9.7,5
white,1.005,0.046,0.9966,3.02,10.2,4
white,0.31,0.028,0.9925,3.01,13,7
white,0.24,0.044,0.996,3.37,10.8,6
white,0.25,0.036,0.9996,2.96,9.7,5
white,0.29,0.063,0.9973,2.89,9,5
white,0.15,0.027,0.9937,3.37,9.9,5
white,0.12,0.058,0.9966,3.29,9.2,6
white,0.32,0.056,1.0017,2.96,8.7,6
white,0.17,0.024,0.993,2.79,10.1,5
white,0.17,0.024,0.993,2.79,10.1,5
white,0.21,0.039,0.9959,2.9,9.5,5
white,0.21,0.041,0.9958,3.17,9.9,5
white,0.32,0.056,1.0017,2.96,8.7,6
white,0.31,0.046,0.9958,3.19,9,5
white,0.27,0.076,0.9979,3.03,8.6,6
white,0.21,0.047,0.9941,3.12,10.5,6
white,0.23,0.044,0.997,3.09,9.5,7
white,0.2,0.047,0.9934,3.43,10.1,6
white,0.41,0.03,0.9927,3.53,11.7,7
white,0.49,0.036,0.9944,3.23,10.7,6
white,0.41,0.03,0.9927,3.53,11.7,7
white,0.2,0.086,0.9963,3.15,9.2,5
white,0.26,0.084,1.0011,3.17,8.8,5
white,0.26,0.084,1.0011,3.17,8.8,5
white,0.27,0.048,0.9959,3.24,9.5,6
white,0.28,0.057,0.9973,3.57,10.2,5
white,0.2,0.048,0.9966,3.25,9.1,6
white,0.33,0.044,0.9932,3.19,10.5,6
white,0.38,0.042,0.9984,3.09,9,6
white,0.2,0.056,0.999,3.14,8.9,8
white,0.2,0.056,0.999,3.14,8.9,8
white,0.2,0.056,0.999,3.14,8.9,8
white,0.2,0.056,0.999,3.14,8.9,8
white,0.2,0.056,0.999,3.14,8.9,8
white,0.19,0.049,1.0006,3.2,9.1,6
white,0.16,0.047,0.9937,3.2,10.1,6
white,0.22,0.043,0.9954,3.12,10,5
white,0.22,0.043,0.997,3.11,9.5,6
white,0.33,0.034,0.9912,3.08,12.3,7
white,0.43,0.054,0.9939,3.24,9.1,4
white,0.2,0.056,0.999,3.14,8.9,8
white,0.12,0.057,0.9957,3.5,9.6,5
white,0.3,0.053,0.9926,3.13,11.6,6
white,0.28,0.043,0.9994,3.34,8.8,6
white,0.2,0.055,1.0004,3.34,8.9,6
white,0.28,0.043,0.9994,3.34,8.8,6
white,0.2,0.055,1.0004,3.34,8.9,6
white,0.2,0.055,1.0004,3.34,8.9,6
white,0.18,0.055,1.0002,3.13,9,6
white,0.31,0.04,0.9922,3.19,10,5
white,0.31,0.038,0.9922,3.18,10,5
white,0.17,0.047,0.9934,3.36,11.1,6
white,0.3,0.053,0.9926,3.13,11.6,6
white,0.26,0.043,0.9941,3.42,10.6,6
white,0.28,0.043,0.9994,3.34,8.8,6
white,0.2,0.055,1.0004,3.34,8.9,6
white,0.18,0.038,0.9924,3.34,10.1,6
white,0.15,0.043,0.9948,3.52,10,5
white,0.4,0.034,0.9935,3.18,12.2,7
white,0.25,0.035,0.9918,3.23,11,6
white,0.15,0.043,0.9948,3.52,10,5
white,0.18,0.064,0.9924,3.37,11.1,5
white,0.32,0.046,0.9979,3.22,10.4,6
white,0.55,0.026,0.993,2.94,11.8,5
white,0.19,0.028,0.994,3.11,10.8,6
white,0.41,0.023,0.991,3.3,12.5,7
white,0.55,0.026,0.993,2.94,11.8,5
white,0.2,0.049,0.9922,3.25,11.6,7
white,0.32,0.046,0.9979,3.22,10.4,6
white,0.26,0.05,0.9937,3.19,11.5,6
white,0.21,0.051,0.9928,3.23,10.1,6
white,0.34,0.04,0.9965,3.11,9.2,6
white,0.21,0.051,0.9928,3.23,10.1,6
white,0.43,0.168,0.9991,3.07,9.2,5
white,0.3,0.16,0.9948,3.08,8.9,5
white,0.26,0.179,0.9925,3.09,10.1,5
white,0.32,0.046,0.9958,3.13,8.9,5
white,0.21,0.037,0.9962,3.1,9.7,6
white,0.34,0.04,0.9965,3.11,9.2,6
white,0.42,0.034,0.9951,3.06,11,6
white,0.29,0.042,0.9944,3.14,10.7,5
white,0.25,0.024,0.9916,3.24,10.8,6
white,0.23,0.049,0.9987,3.41,9.8,5
white,0.35,0.038,0.9928,3.25,11,5
white,0.2,0.018,0.9926,2.97,10.4,5
white,0.27,0.046,0.9934,3.8,10.2,6
white,0.29,0.042,0.9944,3.14,10.7,5
white,0.14,0.029,0.9949,3.34,9,5
white,0.24,0.042,0.9926,3.08,10.6,5
white,0.3,0.032,0.997,3.22,9.5,6
white,0.14,0.029,0.9949,3.34,9,5
white,0.13,0.028,0.9948,3.34,9.2,6
white,0.18,0.03,0.992,2.97,11,6
white,0.385,0.034,0.9964,3.28,9.9,6
white,0.24,0.042,0.9926,3.08,10.6,5
white,0.33,0.046,0.9982,3.38,9.3,5
white,0.34,0.052,0.9955,3.14,9.6,5
white,0.33,0.05,0.9955,3.14,9.5,5
white,0.28,0.031,0.9958,3.39,9.7,7
white,0.23,0.034,0.9997,2.93,9.7,3
white,0.21,0.042,1.0001,3.3,8.7,5
white,0.21,0.042,1.0001,3.3,8.7,5
white,0.485,0.026,0.9918,3.01,12.4,5
white,0.485,0.026,0.9918,3.01,12.4,5
white,0.29,0.029,0.9931,3.07,10.6,6
white,0.21,0.042,1.0001,3.3,8.7,5
white,0.31,0.031,0.9926,3.36,12,7
white,0.29,0.044,0.9966,3.12,9,5
white,0.46,0.04,0.9932,3.13,8.8,5
white,0.28,0.04,0.9969,3.22,9.5,5
white,0.23,0.036,0.9925,3.32,10.8,6
white,0.17,0.047,0.9914,3.16,11.4,5
white,0.18,0.049,0.996,3.6,10.3,5
white,0.22,0.042,0.9952,3.3,9.5,6
white,0.27,0.05,0.9934,3.15,9.9,5
white,0.28,0.051,0.9939,3.16,10.2,5
white,0.29,0.051,0.9939,3.16,10.2,5
white,0.32,0.029,0.9906,3.44,11,6
white,0.33,0.03,0.9901,3.22,12.1,7
white,0.34,0.057,0.9948,3.26,9.1,6
white,0.19,0.04,0.995,3.26,9.5,6
white,0.23,0.043,0.9953,3.27,9.5,5
white,0.27,0.045,0.9953,3.31,9.8,5
white,0.22,0.042,0.9952,3.3,9.5,6
white,0.18,0.049,0.996,3.6,10.3,5
white,0.36,0.039,0.9948,3.3,9.6,5
white,0.22,0.055,0.9951,3.52,10.2,6
white,0.17,0.042,0.9931,3.68,10.5,6
white,0.45,0.044,0.9962,3.32,10.4,4
white,0.36,0.039,0.9948,3.3,9.6,5
white,0.42,0.046,0.9959,3.22,10.7,5
white,0.33,0.036,0.9962,3.15,10.5,6
white,0.3,0.029,0.9958,2.85,10.6,5
white,0.17,0.053,0.9948,3.29,9.6,6
white,0.17,0.053,0.9948,3.29,9.6,6
white,0.17,0.05,0.994,3.14,9.5,5
white,0.17,0.049,0.9942,3.12,9.4,6
white,0.15,0.046,0.9942,3.22,9.8,6
white,0.17,0.053,0.9948,3.29,9.6,6
white,0.25,0.044,0.9964,3.16,9.2,5
white,0.24,0.045,0.9958,3.17,9.5,5
white,0.76,0.043,0.9932,3.34,9.2,5
white,0.22,0.052,0.9986,2.94,9.4,5
white,0.22,0.052,0.9986,2.94,9.4,5
white,0.28,0.048,0.9988,3.4,9.3,5
white,0.32,0.05,0.9953,3.19,9.1,5
white,0.24,0.046,0.9983,3.36,9.5,5
white,0.18,0.056,1,3.42,9.1,6
white,0.16,0.043,0.9951,3.63,10.6,5
white,0.24,0.046,0.9983,3.36,9.5,5
white,0.28,0.042,0.9906,3.19,12.4,6
white,0.34,0.047,0.9981,3.18,8.7,5
white,0.27,0.056,0.9936,3.12,8.8,5
white,0.16,0.043,0.9951,3.63,10.6,5
white,0.32,0.05,0.9953,3.19,9.1,5
white,0.24,0.057,1.0005,3.02,9,5
white,0.24,0.048,0.9972,3.16,10.3,6
white,0.18,0.056,1,3.42,9.1,6
white,0.23,0.038,0.9969,3.12,9.5,6
white,0.22,0.05,1.0001,3.3,8.8,5
white,0.22,0.05,1.0001,3.3,8.8,5
white,0.22,0.05,1.0001,3.3,8.8,5
white,0.33,0.05,0.9934,3.38,9.9,5
white,0.23,0.038,0.9969,3.12,9.5,6
white,0.22,0.05,1.0001,3.3,8.8,5
white,0.2,0.034,0.9902,3.14,11.7,4
white,0.26,0.04,0.993,3.21,10.8,5
white,0.2,0.041,0.9914,3.43,12,6
white,0.16,0.033,0.9941,3.2,10.3,4
white,0.25,0.076,0.9967,3.05,9,5
white,0.39,0.035,0.9918,3.19,12.2,7
white,0.26,0.051,0.998,3.39,9.9,5
white,0.25,0.076,0.9967,3.05,9,5
white,0.39,0.035,0.9918,3.19,12.2,7
white,0.28,0.048,0.9957,3.2,10.1,5
white,0.43,0.056,0.9986,3.31,9.3,5
white,0.33,0.062,0.9958,3.1,9.5,5
white,0.5,0.054,0.9948,3.43,9.2,6
white,0.28,0.036,0.9918,3.27,11.7,5
white,0.35,0.04,0.9923,3.35,11,5
white,0.22,0.056,0.9998,3.37,9.6,6
white,0.22,0.056,0.9998,3.37,9.6,6
white,0.24,0.03,0.9914,2.99,11.9,6
white,0.26,0.041,0.9939,3.25,10.8,6
white,0.16,0.054,0.9966,3.38,10.1,5
white,0.18,0.058,0.995,3.25,10.9,6
white,0.16,0.054,0.9966,3.38,10.1,5
white,0.24,0.06,0.994,3.27,10.4,5
white,0.33,0.056,0.9972,3.05,9.2,5
white,0.28,0.056,0.9998,3.27,9.6,5
white,0.28,0.056,0.9998,3.27,9.6,5
white,0.26,0.047,0.9982,3.1,9,5
white,0.14,0.037,0.9924,3.4,11.5,7
white,0.21,0.053,0.9972,3.17,10.2,6
white,0.2,0.054,0.997,3.4,9.9,6
white,0.115,0.056,0.9954,3.44,9.6,6
white,0.29,0.04,0.9962,3.1,10.6,5
white,0.33,0.056,0.9972,3.05,9.2,5
white,0.24,0.038,0.9921,3.24,11.8,6
white,0.24,0.035,0.9905,3.18,12.2,6
white,0.28,0.056,0.9998,3.27,9.6,5
white,0.22,0.052,0.993,3.2,10.6,6
white,0.18,0.054,0.9941,3.27,10.3,6
white,0.93,0.052,0.9994,3.12,10.2,4
white,0.29,0.035,0.9962,3.11,10.7,5
white,0.28,0.038,0.992,3.05,11.7,4
white,0.25,0.031,0.9922,3.01,12,6
white,0.18,0.048,0.994,3.52,10.6,6
white,0.24,0.031,0.9897,3.3,12.2,4
white,0.33,0.04,0.9954,3.47,11,6
white,0.37,0.03,0.99,3.23,12.4,7
white,0.49,0.087,0.9948,2.77,9.4,6
white,0.25,0.031,0.9922,3.01,12,6
white,0.22,0.028,0.998,2.96,11.6,5
white,0.35,0.069,0.9944,3.18,9.4,5
white,0.35,0.069,0.9944,3.18,9.4,5
white,0.19,0.053,0.9986,3.14,9.1,7
white,0.19,0.053,0.9986,3.14,9.1,7
white,0.19,0.053,0.9986,3.14,9.1,7
white,0.19,0.053,0.9986,3.14,9.1,7
white,0.19,0.053,0.9986,3.14,9.1,7
white,0.32,0.042,0.996,3.23,9.2,5
white,0.32,0.05,0.9999,3.15,9.2,5
white,0.19,0.053,0.9986,3.14,9.1,7
white,0.19,0.053,0.9986,3.14,9.1,7
white,0.32,0.042,0.996,3.23,9.2,5
white,0.34,0.06,0.9951,3.25,9,7
white,0.32,0.05,0.9999,3.15,9.2,5
white,0.24,0.047,0.993,3.22,10.8,6
white,0.36,0.053,0.9982,3.4,9.5,6
white,0.29,0.044,0.992,3.11,11,6
white,0.32,0.041,0.9963,3.24,10,5
white,0.3,0.04,0.995,3.22,9.5,5
white,0.33,0.041,0.9956,3.29,10.1,6
white,0.18,0.051,0.997,3.19,9.5,7
white,0.39,0.217,0.9936,3.08,9.5,5
white,0.25,0.056,0.9935,3.11,9.5,5
white,0.18,0.052,0.9963,3.35,9.4,6
white,0.18,0.048,0.9967,2.92,9.4,6
white,0.27,0.044,0.9912,3.31,12.7,6
white,0.23,0.037,0.9981,3.09,9.7,5
white,0.28,0.058,0.9966,3.27,9.7,6
white,0.18,0.048,0.9967,2.92,9.4,6
white,0.18,0.052,0.9963,3.35,9.4,6
white,0.25,0.056,0.9935,3.11,9.5,5
white,0.22,0.037,0.9902,3.1,11.7,6
white,0.18,0.036,0.99,3.09,11.7,6
white,0.26,0.051,0.996,3.16,9.7,5
white,0.25,0.049,0.9966,3.24,9.5,6
white,0.24,0.069,0.9962,3.25,9.1,5
white,0.28,0.051,0.994,3.23,10.3,6
white,0.26,0.051,0.996,3.16,9.7,5
white,0.24,0.058,0.994,3.21,9.9,5
white,0.27,0.059,0.9944,3.22,9.9,5
white,0.39,0.056,0.9974,3.26,10.2,5
white,0.24,0.035,0.996,3,12.1,6
white,0.23,0.045,0.9922,3.15,11.3,7
white,0.26,0.031,0.9917,3.19,11.4,5
white,0.32,0.039,0.9918,3.17,12.2,6
white,0.24,0.058,0.9936,3.18,9.9,7
white,0.21,0.056,0.9938,3.63,10.3,6
white,0.32,0.039,0.9918,3.17,12.2,6
white,0.17,0.047,0.9939,3.52,10.4,6
white,0.26,0.031,0.9917,3.19,11.4,5
white,0.28,0.041,0.9981,3.13,9.9,6
white,0.3,0.051,0.9941,3.32,10,5
white,0.25,0.051,0.9928,3.21,11.5,6
white,0.28,0.041,0.9952,3.44,10.5,6
white,0.24,0.027,0.9898,3.28,12.5,7
white,0.22,0.045,0.9914,2.98,10.5,6
white,0.28,0.041,0.9981,3.13,9.9,6
white,0.45,0.051,0.9957,3.06,11.4,7
white,0.23,0.056,0.998,3.42,9.8,6
white,0.45,0.051,0.9957,3.06,11.4,7
white,0.23,0.067,0.9986,3.03,9.2,4
white,0.28,0.046,0.9983,3.08,8.9,5
white,0.27,0.046,0.9982,3.07,8.9,5
white,0.2,0.042,0.997,2.92,9.5,7
white,0.25,0.034,0.9947,3.21,11.5,6
white,0.2,0.042,0.997,2.92,9.5,7
white,0.25,0.034,0.9947,3.21,11.5,6
white,0.2,0.054,0.99416,2.96,9.5,6
white,0.39,0.049,0.99516,3.35,9.7,5
white,0.23,0.067,0.99496,3.17,9.7,5
white,0.44,0.048,0.9974,3.32,9.5,6
white,0.28,0.04,0.99579,3.16,9.4,5
white,0.34,0.06,0.9983,3.13,9,4
white,0.15,0.046,0.99471,3.6,10.6,6
white,0.44,0.048,0.9974,3.32,9.5,6
white,0.29,0.042,0.99644,3.16,9.1,5
white,0.28,0.04,0.99579,3.16,9.4,5
white,0.23,0.094,0.99699,3.05,8.8,5
white,0.23,0.047,0.99758,3.54,10.4,5
white,0.36,0.043,0.9977,3.13,8.9,5
white,0.31,0.031,0.99397,3.16,10.6,7
white,0.34,0.06,0.9983,3.13,9,4
white,0.15,0.046,0.99471,3.6,10.6,6
white,0.2,0.047,0.99243,3.28,10.6,6
white,0.27,0.048,0.9962,3.23,9,5
white,0.34,0.06,1.00182,3.08,8.8,6
white,0.18,0.042,0.99384,3.54,10.5,7
white,0.29,0.046,0.99582,3.16,9.5,5
white,0.27,0.048,0.9962,3.23,9,5
white,0.26,0.049,0.9924,3.14,10.4,6
white,0.21,0.046,0.99466,3.38,10,6
white,0.14,0.039,0.99212,2.97,10.4,5
white,0.39,0.157,0.99449,3.11,9,6
white,0.48,0.049,0.99748,3.24,9.3,5
white,0.39,0.157,0.99449,3.11,9,6
white,0.48,0.049,0.99748,3.24,9.3,5
white,0.36,0.061,0.99475,3.18,9,6
white,0.25,0.032,0.99189,3.06,11.5,6
white,0.3,0.056,0.99827,3.11,9,5
white,0.19,0.045,0.99752,3.52,10.4,6
white,0.3,0.056,0.99827,3.11,9,5
white,0.42,0.027,0.99479,3.08,10.6,5
white,0.19,0.045,0.99752,3.52,10.4,6
white,0.2,0.034,0.99642,3.47,8.5,6
white,0.19,0.055,1.00047,3.07,9.3,6
white,0.19,0.051,0.99382,3.53,10.5,7
white,0.25,0.06,0.99784,3.39,9.9,6
white,0.25,0.035,0.99486,3.4,10.4,6
white,0.46,0.053,0.99537,3.35,10.1,5
white,0.19,0.051,0.99382,3.53,10.5,7
white,0.29,0.067,0.99838,3.04,9.2,4
white,0.31,0.043,0.99566,3.17,9.4,6
white,0.14,0.033,0.99268,3.53,10.6,6
white,0.31,0.043,0.99566,3.17,9.4,6
white,0.4,0.148,0.99468,3.08,8.7,5
white,0.16,0.047,0.9933,3.61,10.2,6
white,0.16,0.046,0.99307,3.61,10.3,6
white,0.33,0.049,0.99907,3.06,9.5,5
white,0.33,0.049,0.99907,3.06,9.5,5
white,0.33,0.049,0.99907,3.06,9.5,5
white,0.33,0.049,0.99907,3.06,9.5,5
white,0.41,0.158,0.99471,3.17,9.4,5
white,0.43,0.157,0.99471,3.17,9.4,5
white,0.33,0.049,0.99907,3.06,9.5,5
white,0.4,0.037,0.99148,3.16,12.6,7
white,0.18,0.047,0.99383,3.52,10.5,7
white,0.17,0.047,0.99365,3.1,10.8,6
white,0.32,0.054,0.99272,3.18,9.9,6
white,0.4,0.037,0.99148,3.16,12.6,7
white,0.32,0.031,0.99235,3.38,12.2,7
white,0.42,0.041,0.99508,3.23,10,6
white,0.28,0.04,0.9946,3.29,10.6,7
white,0.29,0.042,0.99674,3.24,9.5,6
white,0.41,0.027,0.99018,3.34,12.8,8
white,0.32,0.031,0.99235,3.38,12.2,7
white,0.3,0.043,0.99084,3.34,12.6,7
white,0.22,0.058,0.99856,3.45,9.4,5
white,0.26,0.055,0.99591,3.21,9,5
white,0.44,0.051,0.9975,3.23,9.1,5
white,0.42,0.06,0.9944,3.06,9.4,6
white,0.36,0.04,0.99173,3.33,12.2,7
white,0.295,0.049,0.99378,3.21,10,5
white,0.21,0.053,0.99805,2.93,9.2,5
white,0.28,0.045,0.99534,3.11,9.3,5
white,0.28,0.035,0.99232,3.14,9.8,6
white,0.21,0.053,0.99805,2.93,9.2,5
white,0.22,0.036,0.99078,3.34,12,7
white,0.28,0.045,0.99534,3.11,9.3,5
white,0.32,0.029,0.99061,3.33,12.6,7
