type,volatile acidity,chlorides,density,alcohol,quality
white,0.21,0.047,0.9916,10.7,6
white,0.16,0.043,0.9953,10.5,6
white,0.29,0.047,0.9938,9.4,6
white,0.27,0.046,0.9956,9.2,6
white,0.55,0.034,0.9906,11.9,5
white,0.27,0.046,0.9956,9.2,6
white,0.24,0.172,0.9932,9.9,6
white,0.33,0.167,0.9914,11.4,6
white,0.29,0.047,0.9938,9.4,6
white,0.34,0.046,0.996,10.7,6
white,0.39,0.034,0.9906,12.7,5
white,0.41,0.034,0.98815,13.5,7
white,0.41,0.048,0.9942,9.5,5
white,0.26,0.032,0.9903,12.9,9
white,0.32,0.031,0.9906,12.5,6
white,0.19,0.04,0.9935,9.5,7
white,0.27,0.057,1.0024,8.6,5
white,0.2,0.048,0.9968,10,7
white,0.32,0.031,0.9906,12.5,6
white,0.26,0.04,0.9941,10.1,6
white,0.26,0.027,0.9919,11.3,7
white,0.14,0.035,0.9928,10.6,7
white,0.29,0.035,0.9958,10.8,5
white,0.19,0.047,0.9932,10.7,6
white,0.34,0.045,0.9957,9,6
white,0.2,0.065,0.9937,9.2,6
white,0.37,0.045,0.9982,8.5,6
white,0.22,0.029,0.9928,11.3,8
white,0.26,0.027,0.9919,11.3,7
white,0.32,0.05,0.9956,9.4,5
white,0.44,0.045,0.9957,8.7,6
white,0.14,0.053,0.9954,9.4,6
white,0.17,0.039,0.993,10.5,7
white,0.26,0.037,0.9954,9.7,6
white,0.22,0.048,0.9987,10.2,6
white,0.32,0.05,0.9956,9.4,5
white,0.2,0.057,0.9928,11.5,6
white,0.15,0.047,0.9951,9.6,6
white,0.25,0.053,0.993,11.4,5
white,0.2,0.057,0.9928,11.5,6
white,0.28,0.041,0.9926,12.2,8
white,0.19,0.037,0.9938,11,7
white,0.25,0.048,1.0001,9.2,6
white,0.14,0.035,0.9933,10.2,6
white,0.49,0.043,0.9952,10,5
white,0.12,0.042,0.9934,9.7,6
white,0.47,0.239,0.9988,9.2,5
white,0.22,0.042,0.993,10.5,5
white,0.49,0.043,0.9952,10,5
white,0.22,0.054,0.9948,10.1,6
white,0.19,0.058,0.9998,9.1,7
white,0.3,0.049,0.9971,10.2,7
white,0.19,0.058,0.9998,9.1,7
white,0.24,0.048,0.9962,10.5,7
white,0.22,0.054,0.9948,10.1,6
white,0.21,0.036,0.99,12.1,7
white,0.3,0.045,0.9942,10.2,5
white,0.26,0.058,0.9965,9.4,4
white,0.31,0.044,0.9912,12.8,7
white,0.42,0.076,0.9978,9,6
white,0.29,0.044,0.9928,10.9,4
white,0.33,0.053,1.0103,8.8,6
white,0.46,0.052,0.9956,9,5
white,0.28,0.046,0.9936,10.2,5
white,0.15,0.048,0.9929,9.2,5
white,0.4,0.06,0.9966,11.3,6
white,0.31,0.05,0.9964,8.8,5
white,0.325,0.049,0.996,9.3,5
white,0.27,0.049,0.9959,9.4,6
white,0.26,0.047,0.9954,10.3,6
white,0.21,0.047,0.9914,10.8,7
white,0.33,0.053,1.0103,8.8,6
white,0.28,0.059,1.0004,9,4
white,0.13,0.036,0.9911,11.5,8
white,0.445,0.04,0.9938,10.8,5
white,0.39,0.055,0.9927,11.8,6
white,0.18,0.033,0.9922,10.5,7
white,0.31,0.036,0.9924,9.9,6
white,0.24,0.046,0.9963,9.8,6
white,0.35,0.028,0.9936,11.4,7
white,0.26,0.138,0.9951,9.3,5
white,0.27,0.137,0.9951,9.3,5
white,0.22,0.046,0.9955,10.3,6
white,0.27,0.047,0.9961,8.9,5
white,0.35,0.028,0.9936,11.4,7
white,0.23,0.032,0.992,11.1,6
white,0.3,0.045,0.9944,10.4,6
white,0.35,0.034,0.9944,10.1,5
white,0.32,0.054,1.0008,9,5
white,0.31,0.046,0.9962,11.9,6
white,0.25,0.055,0.9986,9,7
white,0.25,0.055,0.9986,9,7
white,0.26,0.049,1,9.1,7
white,0.25,0.055,0.9986,9,7
white,0.26,0.047,0.9982,10,5
white,0.26,0.049,1,9.1,7
white,0.25,0.041,0.9949,9.4,3
white,0.16,0.034,0.9915,11.4,6
white,0.43,0.05,0.9951,9.7,4
white,0.25,0.055,0.9986,9,7
white,0.24,0.04,0.9927,11.8,6
white,0.265,0.048,0.9955,10.2,5
white,0.12,0.06,0.9952,9.2,6
white,0.21,0.036,0.9928,11,6
white,0.32,0.041,0.9982,10,6
white,0.18,0.038,0.9914,12.2,6
white,0.24,0.04,0.9927,11.8,6
white,0.26,0.043,0.9918,11.6,6
white,0.26,0.043,0.9944,10.2,6
white,0.29,0.033,0.9969,10.3,5
white,0.27,0.046,0.9955,8.6,4
white,0.33,0.058,0.9954,9.6,5
white,0.31,0.057,0.9955,9.6,5
white,0.25,0.035,0.9921,11.3,6
white,0.24,0.038,0.9934,9.9,6
white,0.26,0.056,0.9998,9.6,5
white,0.61,0.051,0.9946,10.6,4
white,0.22,0.055,0.9984,9.8,5
white,0.31,0.032,0.9924,10.5,5
white,0.2,0.037,0.9939,10.8,5
white,0.18,0.061,0.995,10,6
white,0.34,0.059,0.9957,10.1,6
white,0.3,0.123,0.9953,9.4,5
white,0.18,0.04,0.9912,11.5,8
white,0.21,0.046,0.9939,10.8,6
white,0.27,0.044,0.9921,9.9,6
white,0.2,0.05,0.9954,9,4
white,0.23,0.043,0.9933,9.4,6
white,0.2,0.044,0.9941,10.8,7
white,0.15,0.052,0.995,10.9,7
white,0.4,0.041,0.9977,12,6
white,0.18,0.04,0.9912,11.5,8
white,0.13,0.056,0.9945,10.5,6
white,0.17,0.064,0.9952,9.3,6
white,0.3,0.034,0.9924,11.8,6
white,0.445,0.045,0.9986,10,6
white,0.3,0.123,0.9953,9.4,5
white,0.22,0.036,0.9939,11.4,6
white,0.23,0.031,0.9929,10.4,6
white,0.34,0.055,0.9988,9.5,6
white,0.545,0.031,0.9906,11.9,5
white,0.3,0.041,0.9914,11.1,6
white,0.16,0.057,0.9978,9.6,6
white,0.32,0.042,0.9928,12,6
white,0.22,0.052,0.9948,8.7,5
white,0.16,0.057,0.9978,9.6,6
white,0.15,0.054,0.9946,10,5
white,0.29,0.032,0.9908,11.4,4
white,0.37,0.061,0.9954,9.6,6
white,0.38,0.038,0.9906,12.9,6
white,0.25,0.039,0.99705,9.7,6
white,0.3,0.042,0.9982,9.3,6
white,0.22,0.133,0.9932,9.1,5
white,0.34,0.053,0.9977,8.6,5
white,0.22,0.05,0.994,9.9,5
white,0.3,0.042,0.9982,9.3,6
white,0.27,0.044,0.9929,10.9,5
white,0.17,0.056,0.9924,10.2,6
white,0.18,0.045,0.9966,9.7,6
white,0.16,0.046,0.9921,11.4,7
white,0.255,0.045,0.9967,9.5,6
white,0.23,0.049,0.9934,10.2,7
white,0.16,0.042,0.9914,11.1,6
white,0.25,0.039,0.99705,9.7,6
white,0.27,0.053,0.9961,9.3,5
white,0.29,0.056,0.9967,8.8,5
white,0.21,0.038,0.9926,10.6,5
white,0.62,0.046,0.99605,9.3,5
white,0.28,0.042,0.99435,10.2,6
white,0.3,0.044,0.9948,10.2,6
white,0.17,0.037,0.9916,11,7
white,0.21,0.037,0.997,9.6,6
white,0.27,0.053,0.9961,9.3,5
white,0.29,0.056,0.9967,8.8,5
white,0.32,0.054,0.9961,8.8,5
white,0.32,0.051,0.9955,8.9,5
white,0.37,0.048,0.9922,10,5
white,0.43,0.046,0.9918,12.2,7
white,0.39,0.059,0.9955,10.9,6
white,0.18,0.041,0.9941,9.5,6
white,0.4,0.059,0.9955,10.9,6
white,0.39,0.059,0.9955,10.9,6
white,0.19,0.054,0.9924,10.8,6
white,0.49,0.03,0.9973,12,6
white,0.25,0.069,0.999,9.8,5
white,0.18,0.041,0.9941,9.5,6
white,0.15,0.034,0.9922,11,8
white,0.15,0.034,0.9922,11,8
white,0.17,0.052,0.9953,9.8,5
white,0.32,0.051,0.9945,10.5,4
white,0.21,0.034,0.9945,11.4,6
white,0.45,0.067,0.9957,10.1,6
white,0.24,0.038,0.9932,11.6,7
white,0.21,0.034,0.9945,11.4,6
white,0.33,0.04,0.9913,11.8,7
white,0.26,0.033,0.9909,12.1,7
white,0.36,0.035,0.9939,12,5
white,0.2,0.026,0.991,12.1,7
white,0.16,0.042,0.9954,9.1,5
white,0.33,0.054,0.9943,9.3,5
white,0.22,0.056,0.993,10.4,6
white,0.35,0.062,1.0002,9.1,5
white,0.37,0.064,0.9946,9.4,5
white,0.37,0.061,0.9953,9.6,6
white,0.37,0.037,0.9918,12,5
white,0.25,0.039,0.9936,11.3,8
white,0.23,0.073,0.9984,8.7,6
white,0.26,0.04,0.9956,9.9,6
white,0.3,0.049,0.9966,9.3,6
white,0.16,0.042,0.9942,9.5,5
white,0.23,0.073,0.9984,8.7,6
white,0.26,0.04,0.9956,9.9,6
white,0.3,0.049,0.9966,9.3,6
white,0.33,0.065,0.9974,9.4,5
white,0.38,0.046,0.9944,9.4,5
white,0.2,0.053,1.0008,8.8,6
white,0.33,0.065,0.9974,9.4,5
white,0.2,0.053,1.0008,8.8,6
white,0.36,0.049,0.9928,9.9,6
white,0.38,0.046,0.9944,9.4,5
white,0.46,0.042,0.9908,12.6,6
white,0.15,0.038,0.9917,11.1,6
white,0.42,0.03,0.9911,12.8,7
white,0.3,0.038,0.9912,12,6
white,0.27,0.029,0.9953,12,7
white,0.5,0.034,0.9932,9.2,4
white,0.26,0.032,0.9896,12.3,6
white,0.33,0.032,0.9889,13,6
white,0.3,0.038,0.9912,12,6
white,0.29,0.035,0.9926,10.9,5
white,0.42,0.03,0.9911,12.8,7
white,0.19,0.054,0.9964,10,6
white,0.32,0.033,0.9974,9,5
white,0.32,0.034,0.9944,10.4,5
white,0.32,0.033,0.9974,9,5
white,0.19,0.054,0.9964,10,6
white,0.17,0.051,0.9963,10,6
white,0.44,0.031,0.9948,11.3,7
white,0.44,0.031,0.9948,11.3,7
white,0.49,0.03,0.9953,12,7
white,0.44,0.031,0.9948,11.3,7
white,0.49,0.03,0.9953,12,7
white,0.21,0.044,0.9949,10.6,6
white,0.55,0.211,0.9988,9.3,5
white,0.19,0.123,0.9954,9.4,6
white,0.24,0.037,0.992,11,7
white,0.34,0.052,0.9984,9.3,6
white,0.19,0.123,0.9954,9.4,6
white,0.18,0.054,0.9926,10.5,5
white,0.24,0.037,0.992,11,7
white,0.18,0.039,0.9976,9.5,6
white,0.28,0.059,0.9972,11.2,6
white,0.34,0.029,0.991,12.3,6
white,0.44,0.049,0.998,9,5
white,0.26,0.041,0.9966,9,5
white,0.44,0.049,0.998,9,5
white,0.49,0.052,1.0007,9,5
white,0.24,0.042,0.992,11.4,6
white,0.25,0.046,0.9925,11,7
white,0.34,0.029,0.991,12.3,6
white,0.18,0.049,0.9934,10.4,7
white,0.27,0.058,0.9955,10.3,5
white,0.24,0.048,0.9944,10.5,7
white,0.22,0.053,0.9981,9.8,6
white,0.91,0.056,0.9968,10,4
white,0.34,0.056,0.9946,9.7,5
white,0.33,0.056,0.9946,9.7,5
white,0.22,0.053,0.9981,9.8,6
white,0.18,0.046,0.9946,10.5,6
white,0.2,0.054,0.997,10,6
white,0.13,0.054,0.9924,11.5,7
white,0.28,0.049,0.9958,9.5,5
white,0.25,0.042,0.994,10.5,6
white,0.36,0.255,0.9958,10.2,6
white,0.27,0.05,0.9984,9.8,6
white,0.37,0.031,0.9948,11.6,6
white,0.21,0.031,0.9932,11.8,7
white,0.18,0.035,0.9952,10.1,7
white,0.19,0.049,0.9924,10.3,6
white,0.21,0.048,0.9945,10.4,6
white,0.33,0.047,0.9976,8.9,5
white,0.33,0.047,0.9976,8.9,5
white,0.29,0.034,0.9938,10.8,5
white,0.31,0.058,0.9997,9.2,5
white,0.19,0.053,0.994,9.6,6
white,0.2,0.032,0.9921,10.4,6
white,0.25,0.043,0.9986,8.7,6
white,0.2,0.043,0.9987,9.2,6
white,0.3,0.045,0.9991,9.2,5
white,0.2,0.043,0.9987,9.2,6
white,0.3,0.045,0.9991,9.2,5
white,0.3,0.045,0.9991,9.2,5
white,0.22,0.029,0.9948,10.2,5
white,0.2,0.043,0.9987,9.2,6
white,0.53,0.036,0.993,9,5
white,0.24,0.05,0.9988,9.7,5
white,0.24,0.049,1,9.6,5
white,0.15,0.036,0.9932,10,5
white,0.3,0.045,0.9991,9.2,5
white,0.33,0.045,0.9989,9.1,5
white,0.24,0.046,1,8.7,5
white,0.24,0.046,1,8.7,5
white,0.35,0.056,0.9952,9.5,5
white,0.26,0.039,0.9969,9.5,6
white,0.29,0.037,0.9966,8.9,6
white,0.29,0.037,0.9966,8.9,6
white,0.31,0.053,0.9976,9.9,6
white,0.44,0.03,0.99,12.6,7
white,0.23,0.033,0.9988,9.7,6
white,0.21,0.039,0.9942,10.4,5
white,0.23,0.04,0.9984,9.1,6
white,0.34,0.04,0.9932,10.4,5
white,0.26,0.039,0.9969,9.5,6
white,0.29,0.037,0.9966,8.9,6
white,0.28,0.037,0.9933,10.6,5
white,0.37,0.029,0.9916,12,7
white,0.36,0.038,0.9914,12.5,7
white,0.13,0.062,0.9966,9.6,5
white,0.25,0.045,0.9958,9.2,5
white,0.18,0.041,0.9926,9.9,6
white,0.3,0.036,0.9939,11.7,6
white,0.23,0.049,0.9953,9.6,6
white,0.43,0.033,0.9906,12,6
white,0.36,0.038,0.9914,12.5,7
white,0.25,0.045,0.9958,9.2,5
white,0.18,0.041,0.9926,9.9,6
white,0.35,0.044,0.9991,8.9,6
white,0.22,0.049,0.9994,9,6
white,0.26,0.052,0.9976,10.2,7
white,0.13,0.062,0.9966,9.6,5
white,0.12,0.055,0.9953,9.4,5
white,0.37,0.028,0.9923,10.4,5
white,0.26,0.032,0.993,10.4,4
white,0.2,0.204,0.9931,10,6
white,0.22,0.208,0.9932,10,6
white,0.25,0.052,0.9926,10.5,5
white,0.27,0.047,0.9938,11.4,6
white,0.34,0.036,0.9966,10.2,5
white,0.27,0.043,0.9974,10.4,6
white,0.49,0.047,0.9924,11,3
white,0.71,0.042,0.9948,10.1,6
white,0.47,0.083,0.9964,9.2,5
white,0.28,0.04,0.9924,10.3,6
white,0.34,0.036,0.9966,10.2,5
white,0.27,0.043,0.9974,10.4,6
white,0.13,0.08,0.9938,11.1,7
white,0.16,0.031,0.9928,9.9,5
white,0.31,0.052,0.9959,9,5
white,0.36,0.052,1.0001,8.6,5
white,0.31,0.052,0.9959,9,5
white,0.36,0.052,1.0001,8.6,5
white,0.25,0.041,0.9968,9.5,5
white,0.45,0.051,0.9932,9,5
white,0.26,0.049,0.9954,10,6
white,0.22,0.066,0.9992,9,6
white,0.45,0.051,0.9932,9,5
white,0.19,0.046,0.9939,10.2,7
white,0.31,0.054,0.9952,9.6,5
white,0.25,0.036,0.9996,9.7,5
white,1.005,0.046,0.9966,10.2,4
white,0.31,0.028,0.9925,13,7
white,0.24,0.044,0.996,10.8,6
white,0.25,0.036,0.9996,9.7,5
white,0.29,0.063,0.9973,9,5
white,0.15,0.027,0.9937,9.9,5
white,0.12,0.058,0.9966,9.2,6
white,0.32,0.056,1.0017,8.7,6
white,0.17,0.024,0.993,10.1,5
white,0.17,0.024,0.993,10.1,5
white,0.21,0.039,0.9959,9.5,5
white,0.21,0.041,0.9958,9.9,5
white,0.32,0.056,1.0017,8.7,6
white,0.31,0.046,0.9958,9,5
white,0.27,0.076,0.9979,8.6,6
white,0.21,0.047,0.9941,10.5,6
white,0.23,0.044,0.997,9.5,7
white,0.2,0.047,0.9934,10.1,6
white,0.41,0.03,0.9927,11.7,7
white,0.49,0.036,0.9944,10.7,6
white,0.41,0.03,0.9927,11.7,7
white,0.2,0.086,0.9963,9.2,5
white,0.26,0.084,1.0011,8.8,5
white,0.26,0.084,1.0011,8.8,5
white,0.27,0.048,0.9959,9.5,6
white,0.28,0.057,0.9973,10.2,5
white,0.2,0.048,0.9966,9.1,6
white,0.33,0.044,0.9932,10.5,6
white,0.38,0.042,0.9984,9,6
white,0.2,0.056,0.999,8.9,8
white,0.2,0.056,0.999,8.9,8
white,0.2,0.056,0.999,8.9,8
white,0.2,0.056,0.999,8.9,8
white,0.2,0.056,0.999,8.9,8
white,0.19,0.049,1.0006,9.1,6
white,0.16,0.047,0.9937,10.1,6
white,0.22,0.043,0.9954,10,5
white,0.22,0.043,0.997,9.5,6
white,0.33,0.034,0.9912,12.3,7
white,0.43,0.054,0.9939,9.1,4
white,0.2,0.056,0.999,8.9,8
white,0.12,0.057,0.9957,9.6,5
white,0.3,0.053,0.9926,11.6,6
white,0.28,0.043,0.9994,8.8,6
white,0.2,0.055,1.0004,8.9,6
white,0.28,0.043,0.9994,8.8,6
white,0.2,0.055,1.0004,8.9,6
white,0.2,0.055,1.0004,8.9,6
white,0.18,0.055,1.0002,9,6
white,0.31,0.04,0.9922,10,5
white,0.31,0.038,0.9922,10,5
white,0.17,0.047,0.9934,11.1,6
white,0.3,0.053,0.9926,11.6,6
white,0.26,0.043,0.9941,10.6,6
white,0.28,0.043,0.9994,8.8,6
white,0.2,0.055,1.0004,8.9,6
white,0.18,0.038,0.9924,10.1,6
white,0.15,0.043,0.9948,10,5
white,0.4,0.034,0.9935,12.2,7
white,0.25,0.035,0.9918,11,6
white,0.15,0.043,0.9948,10,5
white,0.18,0.064,0.9924,11.1,5
white,0.32,0.046,0.9979,10.4,6
white,0.55,0.026,0.993,11.8,5
white,0.19,0.028,0.994,10.8,6
white,0.41,0.023,0.991,12.5,7
white,0.55,0.026,0.993,11.8,5
white,0.2,0.049,0.9922,11.6,7
white,0.32,0.046,0.9979,10.4,6
white,0.26,0.05,0.9937,11.5,6
white,0.21,0.051,0.9928,10.1,6
white,0.34,0.04,0.9965,9.2,6
white,0.21,0.051,0.9928,10.1,6
white,0.43,0.168,0.9991,9.2,5
white,0.3,0.16,0.9948,8.9,5
white,0.26,0.179,0.9925,10.1,5
white,0.32,0.046,0.9958,8.9,5
white,0.21,0.037,0.9962,9.7,6
white,0.34,0.04,0.9965,9.2,6
white,0.42,0.034,0.9951,11,6
white,0.29,0.042,0.9944,10.7,5
white,0.25,0.024,0.9916,10.8,6
white,0.23,0.049,0.9987,9.8,5
white,0.35,0.038,0.9928,11,5
white,0.2,0.018,0.9926,10.4,5
white,0.27,0.046,0.9934,10.2,6
white,0.29,0.042,0.9944,10.7,5
white,0.14,0.029,0.9949,9,5
white,0.24,0.042,0.9926,10.6,5
white,0.3,0.032,0.997,9.5,6
white,0.14,0.029,0.9949,9,5
white,0.13,0.028,0.9948,9.2,6
white,0.18,0.03,0.992,11,6
white,0.385,0.034,0.9964,9.9,6
white,0.24,0.042,0.9926,10.6,5
white,0.33,0.046,0.9982,9.3,5
white,0.34,0.052,0.9955,9.6,5
white,0.33,0.05,0.9955,9.5,5
white,0.28,0.031,0.9958,9.7,7
white,0.23,0.034,0.9997,9.7,3
white,0.21,0.042,1.0001,8.7,5
white,0.21,0.042,1.0001,8.7,5
white,0.485,0.026,0.9918,12.4,5
white,0.485,0.026,0.9918,12.4,5
white,0.29,0.029,0.9931,10.6,6
white,0.21,0.042,1.0001,8.7,5
white,0.31,0.031,0.9926,12,7
white,0.29,0.044,0.9966,9,5
white,0.46,0.04,0.9932,8.8,5
white,0.28,0.04,0.9969,9.5,5
white,0.23,0.036,0.9925,10.8,6
white,0.17,0.047,0.9914,11.4,5
white,0.18,0.049,0.996,10.3,5
white,0.22,0.042,0.9952,9.5,6
white,0.27,0.05,0.9934,9.9,5
white,0.28,0.051,0.9939,10.2,5
white,0.29,0.051,0.9939,10.2,5
white,0.32,0.029,0.9906,11,6
white,0.33,0.03,0.9901,12.1,7
white,0.34,0.057,0.9948,9.1,6
white,0.19,0.04,0.995,9.5,6
white,0.23,0.043,0.9953,9.5,5
white,0.27,0.045,0.9953,9.8,5
white,0.22,0.042,0.9952,9.5,6
white,0.18,0.049,0.996,10.3,5
white,0.36,0.039,0.9948,9.6,5
white,0.22,0.055,0.9951,10.2,6
white,0.17,0.042,0.9931,10.5,6
white,0.45,0.044,0.9962,10.4,4
white,0.36,0.039,0.9948,9.6,5
white,0.42,0.046,0.9959,10.7,5
white,0.33,0.036,0.9962,10.5,6
white,0.3,0.029,0.9958,10.6,5
white,0.17,0.053,0.9948,9.6,6
white,0.17,0.053,0.9948,9.6,6
white,0.17,0.05,0.994,9.5,5
white,0.17,0.049,0.9942,9.4,6
white,0.15,0.046,0.9942,9.8,6
white,0.17,0.053,0.9948,9.6,6
white,0.25,0.044,0.9964,9.2,5
white,0.24,0.045,0.9958,9.5,5
white,0.76,0.043,0.9932,9.2,5
white,0.22,0.052,0.9986,9.4,5
white,0.22,0.052,0.9986,9.4,5
white,0.28,0.048,0.9988,9.3,5
white,0.32,0.05,0.9953,9.1,5
white,0.24,0.046,0.9983,9.5,5
white,0.18,0.056,1,9.1,6
white,0.16,0.043,0.9951,10.6,5
white,0.24,0.046,0.9983,9.5,5
white,0.28,0.042,0.9906,12.4,6
white,0.34,0.047,0.9981,8.7,5
white,0.27,0.056,0.9936,8.8,5
white,0.16,0.043,0.9951,10.6,5
white,0.32,0.05,0.9953,9.1,5
white,0.24,0.057,1.0005,9,5
white,0.24,0.048,0.9972,10.3,6
white,0.18,0.056,1,9.1,6
white,0.23,0.038,0.9969,9.5,6
white,0.22,0.05,1.0001,8.8,5
white,0.22,0.05,1.0001,8.8,5
white,0.22,0.05,1.0001,8.8,5
white,0.33,0.05,0.9934,9.9,5
white,0.23,0.038,0.9969,9.5,6
white,0.22,0.05,1.0001,8.8,5
white,0.2,0.034,0.9902,11.7,4
white,0.26,0.04,0.993,10.8,5
white,0.2,0.041,0.9914,12,6
white,0.16,0.033,0.9941,10.3,4
white,0.25,0.076,0.9967,9,5
white,0.39,0.035,0.9918,12.2,7
white,0.26,0.051,0.998,9.9,5
white,0.25,0.076,0.9967,9,5
white,0.39,0.035,0.9918,12.2,7
white,0.28,0.048,0.9957,10.1,5
white,0.43,0.056,0.9986,9.3,5
white,0.33,0.062,0.9958,9.5,5
white,0.5,0.054,0.9948,9.2,6
white,0.28,0.036,0.9918,11.7,5
white,0.35,0.04,0.9923,11,5
white,0.22,0.056,0.9998,9.6,6
white,0.22,0.056,0.9998,9.6,6
white,0.24,0.03,0.9914,11.9,6
white,0.26,0.041,0.9939,10.8,6
white,0.16,0.054,0.9966,10.1,5
white,0.18,0.058,0.995,10.9,6
white,0.16,0.054,0.9966,10.1,5
white,0.24,0.06,0.994,10.4,5
white,0.33,0.056,0.9972,9.2,5
white,0.28,0.056,0.9998,9.6,5
white,0.28,0.056,0.9998,9.6,5
white,0.26,0.047,0.9982,9,5
white,0.14,0.037,0.9924,11.5,7
white,0.21,0.053,0.9972,10.2,6
white,0.2,0.054,0.997,9.9,6
white,0.115,0.056,0.9954,9.6,6
white,0.29,0.04,0.9962,10.6,5
white,0.33,0.056,0.9972,9.2,5
white,0.24,0.038,0.9921,11.8,6
white,0.24,0.035,0.9905,12.2,6
white,0.28,0.056,0.9998,9.6,5
white,0.22,0.052,0.993,10.6,6
white,0.18,0.054,0.9941,10.3,6
white,0.93,0.052,0.9994,10.2,4
white,0.29,0.035,0.9962,10.7,5
white,0.28,0.038,0.992,11.7,4
white,0.25,0.031,0.9922,12,6
white,0.18,0.048,0.994,10.6,6
white,0.24,0.031,0.9897,12.2,4
white,0.33,0.04,0.9954,11,6
white,0.37,0.03,0.99,12.4,7
white,0.49,0.087,0.9948,9.4,6
white,0.25,0.031,0.9922,12,6
white,0.22,0.028,0.998,11.6,5
white,0.35,0.069,0.9944,9.4,5
white,0.35,0.069,0.9944,9.4,5
white,0.19,0.053,0.9986,9.1,7
white,0.19,0.053,0.9986,9.1,7
white,0.19,0.053,0.9986,9.1,7
white,0.19,0.053,0.9986,9.1,7
white,0.19,0.053,0.9986,9.1,7
white,0.32,0.042,0.996,9.2,5
white,0.32,0.05,0.9999,9.2,5
white,0.19,0.053,0.9986,9.1,7
white,0.19,0.053,0.9986,9.1,7
white,0.32,0.042,0.996,9.2,5
white,0.34,0.06,0.9951,9,7
white,0.32,0.05,0.9999,9.2,5
white,0.24,0.047,0.993,10.8,6
white,0.36,0.053,0.9982,9.5,6
white,0.29,0.044,0.992,11,6
white,0.32,0.041,0.9963,10,5
white,0.3,0.04,0.995,9.5,5
white,0.33,0.041,0.9956,10.1,6
white,0.18,0.051,0.997,9.5,7
white,0.39,0.217,0.9936,9.5,5
white,0.25,0.056,0.9935,9.5,5
white,0.18,0.052,0.9963,9.4,6
white,0.18,0.048,0.9967,9.4,6
white,0.27,0.044,0.9912,12.7,6
white,0.23,0.037,0.9981,9.7,5
white,0.28,0.058,0.9966,9.7,6
white,0.18,0.048,0.9967,9.4,6
white,0.18,0.052,0.9963,9.4,6
white,0.25,0.056,0.9935,9.5,5
white,0.22,0.037,0.9902,11.7,6
white,0.18,0.036,0.99,11.7,6
white,0.26,0.051,0.996,9.7,5
white,0.25,0.049,0.9966,9.5,6
white,0.24,0.069,0.9962,9.1,5
white,0.28,0.051,0.994,10.3,6
white,0.26,0.051,0.996,9.7,5
white,0.24,0.058,0.994,9.9,5
white,0.27,0.059,0.9944,9.9,5
white,0.39,0.056,0.9974,10.2,5
white,0.24,0.035,0.996,12.1,6
white,0.23,0.045,0.9922,11.3,7
white,0.26,0.031,0.9917,11.4,5
white,0.32,0.039,0.9918,12.2,6
white,0.24,0.058,0.9936,9.9,7
white,0.21,0.056,0.9938,10.3,6
white,0.32,0.039,0.9918,12.2,6
white,0.17,0.047,0.9939,10.4,6
white,0.26,0.031,0.9917,11.4,5
white,0.28,0.041,0.9981,9.9,6
white,0.3,0.051,0.9941,10,5
white,0.25,0.051,0.9928,11.5,6
white,0.28,0.041,0.9952,10.5,6
white,0.24,0.027,0.9898,12.5,7
white,0.22,0.045,0.9914,10.5,6
white,0.28,0.041,0.9981,9.9,6
white,0.45,0.051,0.9957,11.4,7
white,0.23,0.056,0.998,9.8,6
white,0.45,0.051,0.9957,11.4,7
white,0.23,0.067,0.9986,9.2,4
white,0.28,0.046,0.9983,8.9,5
white,0.27,0.046,0.9982,8.9,5
white,0.2,0.042,0.997,9.5,7
white,0.25,0.034,0.9947,11.5,6
white,0.2,0.042,0.997,9.5,7
white,0.25,0.034,0.9947,11.5,6
white,0.2,0.054,0.99416,9.5,6
white,0.39,0.049,0.99516,9.7,5
white,0.23,0.067,0.99496,9.7,5
white,0.44,0.048,0.9974,9.5,6
white,0.28,0.04,0.99579,9.4,5
white,0.34,0.06,0.9983,9,4
white,0.15,0.046,0.99471,10.6,6
white,0.44,0.048,0.9974,9.5,6
white,0.29,0.042,0.99644,9.1,5
white,0.28,0.04,0.99579,9.4,5
white,0.23,0.094,0.99699,8.8,5
white,0.23,0.047,0.99758,10.4,5
white,0.36,0.043,0.9977,8.9,5
white,0.31,0.031,0.99397,10.6,7
white,0.34,0.06,0.9983,9,4
white,0.15,0.046,0.99471,10.6,6
white,0.2,0.047,0.99243,10.6,6
white,0.27,0.048,0.9962,9,5
white,0.34,0.06,1.00182,8.8,6
white,0.18,0.042,0.99384,10.5,7
white,0.29,0.046,0.99582,9.5,5
white,0.27,0.048,0.9962,9,5
white,0.26,0.049,0.9924,10.4,6
white,0.21,0.046,0.99466,10,6
white,0.14,0.039,0.99212,10.4,5
white,0.39,0.157,0.99449,9,6
white,0.48,0.049,0.99748,9.3,5
white,0.39,0.157,0.99449,9,6
white,0.48,0.049,0.99748,9.3,5
white,0.36,0.061,0.99475,9,6
white,0.25,0.032,0.99189,11.5,6
white,0.3,0.056,0.99827,9,5
white,0.19,0.045,0.99752,10.4,6
white,0.3,0.056,0.99827,9,5
white,0.42,0.027,0.99479,10.6,5
white,0.19,0.045,0.99752,10.4,6
white,0.2,0.034,0.99642,8.5,6
white,0.19,0.055,1.00047,9.3,6
white,0.19,0.051,0.99382,10.5,7
white,0.25,0.06,0.99784,9.9,6
